key,Назва,Робота (грн),Матеріал мін (грн),Матеріал макс (грн)
ac,Кондиціонер,13000,15000,45000
balcony_glazing_block,Балконний блок,1500,4800,9000
balcony_glazing_outer,Зовнішнє скління,1000,4800,9000
balcony_warm,Утеплення балкона,600,600,800
balcony_workspace,Робоче місце на балконі,1500,3500,3500
base_hidden,Прихований плінтус,1600,600,600
base_shadow,Тіньовий плінтус,1435,400,800
base_std,Плінтус стандарт,215,115,200
bath_tub,Ванна,3800,15000,100000
boiler_100,Бойлер 100 л,2800,8000,25000
boiler_300,Бойлер 300 л,5000,8000,25000
build_brick,Монтаж стін: цегла,1100,1000,1000
build_gazoblok,Монтаж стін: газоблок,850,600,600
build_gkl,Монтаж стін: гіпсокартон,1100,600,600
ceil_gips,Гіпсокартонна стеля,2500,650,650
ceil_shadow_add,Тіньовий шов (стеля),350,150,300
ceil_stretch,Натяжна стеля,400,390,390
curtains,Карнизи / штори,500,3000,10000
demo_door_ent,Демонтаж вхідних дверей,1200,0,0
demo_door_int,Демонтаж міжкімнатних дверей,500,0,0
demo_floor_lin,Демонтаж лінолеуму/ламінату,120,0,0
demo_floor_wood,Демонтаж дерев'яної підлоги,250,0,0
demo_screed,Демонтаж стяжки,320,0,0
demo_walls,Демонтаж стін,400,0,0
door_entrance_armor,Вхідні двері (броньовані),5500,15000,50000
door_entrance_mdf,Вхідні двері (МДФ),4700,15000,50000
door_hidden,Двері прихованого монтажу,30000,15000,27000
door_std,Двері стандарт,3650,8000,15000
electric_point,Електрика: точки,180,100,200
electric_wire,Електрика: кабель,2100,1000,2000
hygienic_shower,Гігієнічний душ,1900,3000,12000
kitchen_apron,Фартух кухні,4000,3000,8000
kitchen_workspace_led,Підсвітка робочої зони,1000,2000,2000
light_chandelier,Люстра,750,3500,3500
light_led,LED-підсвітка,390,0,0
light_point,Точкове світло,250,300,800
light_track,Трек / лінійне світло,780,1450,3600
linoleum,Лінолеум,150,300,600
logistics_base,Логістика,150,0,0
logistics_elev,Підйом ліфтом,10,0,0
logistics_stair,Підйом сходами,30,0,0
mirror_led,Дзеркало з підсвіткою,600,1500,12000
mixer_hidden,Змішувач прихований,1900,5000,25000
mixer_std,Змішувач стандарт,1000,2000,15000
plumbing,Розводка сантехніки,1100,300,300
radiator,Радіатор,3400,3000,12000
room_lam,Ламінат,405,600,900
room_parket,Паркет,850,2500,5000
room_quartz,Кварц-вініл,565,1200,1800
rough_plaster,Штукатурка стін,805,340,400
screed_dry,Стяжка напівсуха,500,500,500
screed_wet,Стяжка мокра,1100,700,700
shower_doors,Скляна конструкція з дверима,3500,12000,20000
shower_glass,Скляна перегородка,3500,8000,15000
shower_trap,Душовий трап,10000,3000,5000
shower_tray,Душовий піддон,3000,8000,20000
sill_plastic,Підвіконня пластик,800,1500,1500
sill_stone,Підвіконня штучний камінь,2000,4000,8000
sill_wood,Підвіконня дерево,1500,3000,3000
sink_cabinet,Умивальник з тумбою,1600,10000,40000
soundproof,Звукоізоляція,830,1000,2500
tech_kitchen,Підключення кухонної техніки,1050,10000,30000
tech_osmos,Осмос / подрібнювач,2000,8000,25000
tech_washer,Підключення пральної/посудомийної,1050,15000,40000
tile_floor_large,Великоформатний керамограніт (підлога),3100,1500,2500
tile_floor_mosaic,Мозаїка на підлогу,2600,1500,2500
tile_floor_std,Керамограніт на підлогу,1900,1500,2500
tile_wall_large,Великоформатний керамограніт (стіни),3300,1500,2500
tile_wall_mosaic,Мозаїка на стіни,2800,1500,2500
tile_wall_std,Плитка на стіни,2100,1500,2500
toilet_install,Унітаз з інсталяцією,4900,12000,30000
toilet_okrem,Унітаз окремостоячий,2000,5000,20000
towel_dryer,Рушникосушка,1200,3500,15000
wall_decor,Декоративна штукатурка,2210,500,1500
wall_decor_panels,Декоративні панелі,5000,8000,15000
wall_koroid,Короїд,600,250,250
wall_paint,Фарбування стін,1865,250,450
wall_paper,Шпалери,1000,200,400
wall_primer,Грунтовка стін,55,0,0
wall_vagonka,Вагонка,1200,1500,1500
warm_floor_elec,Тепла підлога (електро),550,400,500
whitewash,Побілка,100,50,100
wood_rails,Дерев'яні рейки,800,1500,3500